,negative,positive,neutral
depository,0,0,1
depot,0,0,1
depraved,1,0,0
depravity,1,0,0
depreciate,1,0,0
depreciated,1,0,0
depreciation,1,0,0
depress,1,0,0
depressed,1,0,0
depressing,1,0,0
depression,1,0,0
depressive,1,0,0
deprivation,1,0,0
depth,0,1,0
deputy,0,0,1
derail,0,0,1
deranged,1,0,0
derelict,1,0,0
derision,1,0,0
derivation,0,0,1
derivative,0,0,1
derive,0,0,1
dermal,0,0,1
dermatologist,0,0,1
dermatology,0,0,1
derogation,1,0,0
derogatory,1,0,0
descend,0,0,1
descendant,0,0,1
descendent,0,0,1
descending,0,0,1
descent,0,0,1
describe,0,0,1
description,0,0,1
descriptive,0,1,0
desecration,1,0,0
desert,1,0,0
deserted,1,0,0
desertion,1,0,0
deserve,0,1,0
deserved,0,1,0
deserving,0,0,1
design,0,0,1
designate,0,0,1
designation,0,0,1
designed,0,0,1
designer,0,1,0
designing,0,0,1
desirability,0,0,1
desirable,0,1,0
desiring,0,1,0
desirous,0,1,0
desist,1,0,0
desk,0,0,1
desolation,1,0,0
despair,1,0,0
despairing,1,0,0
despatch,0,0,1
desperate,1,0,0
desperation,0,0,1
despicable,1,0,0
despise,1,0,0
despotic,1,0,0
despotism,1,0,0
dessert,0,0,1
destination,0,1,0
destined,0,0,1
destiny,0,0,1
destitute,1,0,0
destroyed,1,0,0
destroyer,1,0,0
destroying,1,0,0
destruction,1,0,0
destructive,1,0,0
detach,0,0,1
detached,0,0,1
detachment,1,0,0
detail,0,0,1
details,0,0,1
detain,1,0,0
detainee,1,0,0
detect,0,1,0
detectable,0,0,1
detection,0,1,0
detective,0,0,1
detector,0,0,1
detention,1,0,0
deter,0,0,1
detergent,0,0,1
deteriorate,1,0,0
deteriorated,1,0,0
deterioration,1,0,0
determinable,0,0,1
determinate,0,0,1
determination,0,1,0
determined,0,1,0
detest,1,0,0
detonate,1,0,0
detonation,0,0,1
detour,0,0,1
detract,1,0,0
detriment,1,0,0
detrimental,1,0,0
detritus,1,0,0
deuce,0,0,1
devastate,1,0,0
devastating,1,0,0
devastation,1,0,0
develop,0,1,0
developing,0,0,1
development,0,0,1
deviate,0,0,1
deviating,0,0,1
deviation,0,0,1
device,0,0,1
devil,1,0,0
devilish,1,0,0
devious,1,0,0
devise,0,0,1
devoid,0,0,1
devolution,1,0,0
devolve,0,0,1
devote,0,0,1
devotee,0,0,1
devotional,0,1,0
devour,1,0,0
devout,0,1,0
dew,0,0,1
dexter,0,0,1
dexterity,0,1,0
dextrose,0,0,1
diabolical,1,0,0
diagnosis,1,0,0
diagnostic,0,0,1
diagnostics,0,0,1
diagram,0,0,1
dial,0,0,1
dialect,0,0,1
dialectic,0,0,1
dialogue,0,0,1
diameter,0,0,1
diamond,0,1,0
diamonds,0,0,1
diaper,0,0,1
diaphragm,0,0,1
diarrhoea,0,0,1
diary,0,1,0
diatribe,1,0,0
dice,0,0,1
dichotomous,0,0,1
dichotomy,0,0,1
dictate,0,0,1
dictation,0,0,1
dictator,1,0,0
dictatorial,1,0,0
dictatorship,1,0,0
diction,0,0,1
dictionary,0,1,0
dictum,0,0,1
didactic,0,1,0
die,1,0,0
diet,0,0,1
dietary,0,1,0
differ,0,0,1
difference,0,0,1
differences,0,0,1
differential,0,0,1
differentiation,0,0,1
differently,0,0,1
differing,0,0,1
difficult,0,0,1
difficulties,1,0,0
difficulty,1,0,0
diffuse,0,0,1
diffusion,0,0,1
dig,0,0,1
digest,0,0,1
digestion,0,0,1
digit,0,0,1
dignified,0,1,0
dignity,0,1,0
digress,1,0,0
digs,0,0,1
dike,0,0,1
dilapidated,1,0,0
dilatation,0,0,1
dilation,0,0,1
dilemma,0,0,1
diligence,0,1,0
diligent,0,0,1
diluent,0,0,1
dilute,1,0,0
diluted,0,0,1
dilution,0,0,1
dime,0,0,1
dimension,0,0,1
diminish,1,0,0
diminished,1,0,0
diminution,0,0,1
diminutive,0,0,1
din,1,0,0
dine,0,0,1
diner,0,0,1
dinner,0,1,0
dinosaur,0,0,1
dint,0,0,1
diocesan,0,0,1
diocese,0,0,1
diorama,0,0,1
dip,0,0,1
diploma,0,0,1
diplomacy,0,1,0
diplomat,0,0,1
diplomatic,0,1,0
dire,1,0,0
directed,0,0,1
direction,0,0,1
directly,0,0,1
director,0,1,0
directory,0,0,1
dirt,1,0,0
dirty,1,0,0
disability,1,0,0
disable,1,0,0
disabled,1,0,0
disadvantage,0,0,1
disaffected,1,0,0
disagree,1,0,0
disagreeable,0,0,1
disagreeing,1,0,0
disagreement,1,0,0
disallow,0,0,1
disallowed,1,0,0
disappear,0,0,1
disappearance,0,0,1
disappearing,0,0,1
disappoint,1,0,0
disappointed,1,0,0
disappointing,1,0,0
disappointment,1,0,0
disapproval,1,0,0
disapprove,1,0,0
disapproved,1,0,0
disapproving,1,0,0
disarm,0,0,1
disarray,0,0,1
disaster,1,0,0
disastrous,1,0,0
disband,0,0,1
disbelief,0,0,1
disbelieve,1,0,0
disburse,0,0,1
disbursement,0,0,1
disc,0,0,1
discarded,0,0,1
discards,1,0,0
discern,0,0,1
discernible,0,0,1
discerning,0,0,1
discernment,0,0,1
discharge,1,0,0
disciple,0,0,1
discipline,1,0,0
disclaim,1,0,0
disclaimer,0,0,1
disclose,0,0,1
disclosed,0,0,1
disclosure,0,0,1
discoloration,1,0,0
discolored,1,0,0
discomfort,1,0,0
disconnect,1,0,0
disconnected,1,0,0
disconnection,1,0,0
discontent,1,0,0
discontinuance,0,0,1
discontinue,1,0,0
discontinuity,1,0,0
discontinuous,0,0,1
discord,1,0,0
discount,0,0,1
discounted,0,0,1
discourage,1,0,0
discouraged,0,0,1
discouragement,1,0,0
discourse,0,0,1
discover,0,0,1
discovery,0,1,0
discredit,1,0,0
discreet,0,1,0
discrepancy,0,0,1
discrete,0,0,1
discretion,0,1,0
discretionary,0,1,0
discriminate,1,0,0
discriminating,1,0,0
discrimination,1,0,0
discus,0,0,1
discuss,0,0,1
discussion,0,1,0
disdain,1,0,0
disease,1,0,0
diseased,1,0,0
disembodied,1,0,0
disengage,0,0,1
disengagement,1,0,0
disfigured,1,0,0
disgrace,1,0,0
disgraced,1,0,0
disgraceful,1,0,0
disgruntled,1,0,0
disguise,0,0,1
disguised,0,0,1
disgust,1,0,0
disgusting,1,0,0
dish,0,0,1
disheartened,1,0,0
disheartening,1,0,0
dishonest,1,0,0
dishonesty,1,0,0
dishonor,1,0,0
disillusionment,1,0,0
disinfect,0,0,1
disinfectant,0,0,1
disinfection,0,1,0
disinformation,1,0,0
disingenuous,1,0,0
disintegrate,1,0,0
disintegration,1,0,0
disinterested,1,0,0
disjoint,0,0,1
disjointed,0,0,1
disjunctive,0,0,1
disk,0,0,1
diskette,0,0,1
dislike,1,0,0
disliked,1,0,0
dislocated,1,0,0
dislocation,0,0,1
dislodge,0,0,1
dismal,1,0,0
dismay,1,0,0
dismemberment,1,0,0
dismiss,0,0,1
dismissal,1,0,0
dismount,0,0,1
disobedience,1,0,0
disobedient,1,0,0
disobey,1,0,0
disorder,1,0,0
disorderly,1,0,0
disorganized,1,0,0
disparage,1,0,0
disparaging,1,0,0
disparate,0,0,1
disparity,1,0,0
dispassionate,1,0,0
dispatch,0,0,1
dispel,1,0,0
dispensation,0,0,1
dispense,0,0,1
disperse,0,0,1
dispersed,0,0,1
dispersion,1,0,0
displace,1,0,0
displaced,0,0,1
displacement,0,0,1
display,0,0,1
displeased,1,0,0
displeasure,1,0,0
disposal,1,0,0
dispose,0,0,1
disposed,0,1,0
disposition,0,0,1
dispossessed,1,0,0
disprove,0,0,1
dispute,1,0,0
disqualification,1,0,0
disqualified,1,0,0
disqualify,1,0,0
disregard,1,0,0
disregarded,1,0,0
disreputable,1,0,0
disrepute,0,0,1
disrespect,1,0,0
disrespectful,1,0,0
disruption,1,0,0
dissatisfaction,1,0,0
dissatisfied,0,0,1
dissect,0,0,1
dissection,0,0,1
disseminate,0,1,0
dissemination,0,0,1
dissension,1,0,0
dissent,0,0,1
dissenting,1,0,0
dissertation,0,0,1
disservice,1,0,0
dissident,1,0,0
dissimilar,0,0,1
dissipate,0,0,1
dissipated,0,0,1
dissociation,0,0,1
dissolution,1,0,0
dissolve,0,0,1
dissonance,1,0,0
dissuade,0,0,1
distal,0,0,1
distance,0,0,1
distant,0,0,1
distaste,1,0,0
distasteful,1,0,0
distillate,0,0,1
distillation,0,1,0
distinction,0,1,0
distinctive,0,0,1
distinguish,0,0,1
distinguishable,0,0,1
distinguished,0,0,1
distinguishing,0,0,1
distorted,1,0,0
distortion,1,0,0
distract,1,0,0
distracted,1,0,0
distracting,1,0,0
distraction,1,0,0
distraught,1,0,0
distress,1,0,0
distressed,1,0,0
distressing,1,0,0
distribute,0,0,1
distribution,0,0,1
district,0,0,1
distrust,1,0,0
disturbance,1,0,0
disturbed,1,0,0
disuse,1,0,0
disused,1,0,0
ditch,0,0,1
ditto,0,0,1
ditty,0,1,0
diurnal,0,0,1
divan,0,0,1
dive,0,0,1
diver,0,0,1
diverge,0,0,1
divergence,0,0,1
divergent,1,0,0
diverging,0,0,1
divers,0,0,1
diverse,1,1,0
diversified,0,1,0
diversify,0,0,1
diversion,0,1,0
diversity,0,0,1
divert,0,0,1
diverting,0,0,1
divest,0,0,1
divested,1,0,0
divestment,1,0,0
divide,0,0,1
divided,0,0,1
dividend,0,0,1
divination,0,0,1
divine,0,0,1
divinity,0,1,0
divisible,0,0,1
division,0,0,1
divisor,0,0,1
divorce,1,0,0
divulge,0,0,1
dizziness,1,0,0
dizzy,1,0,0
docile,0,0,1
dock,0,0,1
docked,1,0,0
docket,0,0,1
doctor,0,1,0
doctrinal,0,0,1
doctrine,0,0,1
document,0,0,1
documentary,0,0,1
dodge,0,0,1
dodging,0,0,1
doe,0,0,1
doer,0,1,0
dog,0,0,1
dogged,0,1,0
dogma,0,0,1
dogmatic,0,0,1
doings,0,0,1
doit,1,0,0
doldrums,1,0,0
dole,1,0,0
doll,0,0,1
dollar,0,0,1
dolor,1,0,0
dolphin,0,1,0
domain,0,0,1
dome,0,0,1
domestic,0,0,1
domesticated,0,0,1
domestication,0,0,1
domicile,0,0,1
domiciled,0,0,1
dominance,0,0,1
dominant,1,0,0
dominate,1,1,0
dominating,0,0,1
domination,1,0,0
dominion,0,0,1
domino,0,0,1
don,0,1,0
donation,0,1,0
donkey,1,0,0
donor,0,0,1
doodle,1,0,0
doom,1,0,0
doomed,1,0,0
doomsday,1,0,0
door,0,0,1
doorbell,0,0,1
doorway,0,0,1
dormant,0,0,1
dormitory,0,0,1
dorsal,0,0,1
dose,0,0,1
dot,0,0,1
double,0,0,1
doubled,0,0,1
doublet,0,0,1
doubling,0,0,1
doubt,1,0,0
doubtful,1,0,0
doubting,1,0,0
doubtless,0,1,0
douche,1,0,0
dough,0,0,1
doughnut,0,0,1
dour,1,0,0
dove,0,1,0
downcast,0,0,1
downfall,1,0,0
downhill,0,0,1
downpour,0,0,1
downright,0,0,1
downy,0,1,0
dowry,0,0,1
doze,0,0,1
dozen,0,0,1
drab,1,0,0
draft,0,0,1
drag,0,0,1
dragon,0,0,1
drain,0,0,1
drainage,1,0,0
drained,0,0,1
drake,0,0,1
drama,0,0,1
dramatic,0,0,1
drape,0,0,1
drapery,0,0,1
drastic,0,0,1
draught,0,0,1
draw,0,0,1
drawback,1,0,0
drawer,0,0,1
drawers,0,0,1
drawing,0,0,1
dread,1,0,0
dreadful,1,0,0
dreadfully,1,0,0
dream,0,0,1
dreamer,0,0,1
dreaming,0,0,1
dreamy,0,0,1
dreary,1,0,0
dredge,0,0,1
drenched,0,0,1
dresser,0,0,1
dribble,0,0,1
dried,0,0,1
drier,0,0,1
drift,0,0,1
drifted,0,0,1
drill,0,0,1
drink,0,0,1
drinking,1,0,0
drip,0,0,1
dripping,0,0,1
drivel,1,0,0
driver,0,0,1
driveway,0,0,1
drizzle,0,0,1
droll,0,0,1
drone,1,0,0
drool,0,0,1
drooping,1,0,0
drop,0,0,1
droplet,0,0,1
drought,1,0,0
drove,0,0,1
drown,1,0,0
drowsiness,1,0,0
drowsy,0,0,1
drudgery,1,0,0
drug,0,0,1
drugged,0,0,1
drugstore,0,0,1
druid,0,0,1
drum,0,0,1
drummer,0,0,1
drumming,0,0,1
drunken,1,0,0
drunkenness,1,0,0
dry,0,0,1
dryness,0,0,1
dual,0,0,1
dualism,0,0,1
duality,0,0,1
dub,0,0,1
dubious,1,0,0
ducking,0,0,1
duct,0,0,1
ductile,0,0,1
duds,0,0,1
due,0,0,1
duel,0,0,1
dues,0,0,1
duet,0,1,0
dugout,0,0,1
duke,0,1,0
dull,1,0,0
dumb,1,0,0
dummy,1,0,0
dump,0,0,1
dumps,1,0,0
dun,1,0,0
dune,0,0,1
dung,0,0,1
dungeon,1,0,0
duo,0,0,1
dupe,1,0,0
duplex,0,0,1
duplicate,0,0,1
duplication,0,0,1
duplicity,1,0,0
durability,0,1,0
durable,0,1,0
duration,0,0,1
duress,1,0,0
dusk,0,0,1
dusky,0,0,1
dust,1,0,0
duster,0,0,1
dusty,0,0,1
dutiful,0,1,0
dwarf,0,0,1
dwarfed,1,0,0
dwell,0,0,1
dweller,0,0,1
dwelling,0,0,1
dye,0,0,1
dying,1,0,0
dyke,0,0,1
dynamic,0,0,1
dynamical,0,0,1
dynamics,0,0,1
dynamite,0,0,1
dynasty,0,0,1
dysentery,1,0,0
dyspepsia,0,0,1
eager,0,1,0
eagerness,0,1,0
eagle,0,0,1
ear,0,0,1
earl,0,1,0
earlier,0,0,1
early,0,0,1
earn,0,1,0
earnest,0,1,0
earnestly,0,1,0
earnestness,0,1,0
earnings,0,0,1
earring,0,0,1
earshot,0,0,1
earth,0,0,1
earthenware,0,0,1
earthly,0,0,1
earthquake,1,0,0
earthy,0,0,1
ease,0,1,0
easel,0,0,1
easement,0,1,0
easily,0,0,1
easy,0,0,1
easygoing,0,1,0
eat,0,1,0
eating,0,0,1
eavesdropping,1,0,0
ebb,0,0,1
ebony,0,0,1
eccentric,0,0,1
eccentricity,0,0,1
ecclesiastical,0,0,1
echo,0,0,1
eclectic,0,0,1
eclipse,0,0,1
ecliptic,0,0,1
economical,0,0,1
economics,0,0,1
economy,0,0,1
ecstasy,0,1,0
ecstatic,0,1,0
ecumenical,0,0,1
eddy,0,0,1
edge,0,0,1
edging,0,0,1
edible,0,0,1
edict,1,0,0
edification,0,1,0
edifice,0,0,1
edit,0,0,1
edition,0,0,1
editor,0,0,1
editorial,0,0,1
educate,0,1,0
educated,0,1,0
education,0,0,1
educational,0,1,0
eel,0,0,1
effect,0,0,1
effective,0,1,0
effects,0,0,1
effectual,0,0,1
effectually,0,0,1
effectuate,0,0,1
effeminate,1,0,0
efficacious,0,0,1
efficacy,0,1,0
efficiency,0,1,0
efficient,0,1,0
effigy,0,0,1
effort,0,1,0
effusion,0,0,1
egg,0,0,1
ego,0,0,1
egotistical,1,0,0
egregious,1,0,0
egress,0,0,1
eighth,0,0,1
eighty,0,0,1
ejaculate,0,0,1
ejaculation,0,1,0
eject,1,0,0
ejection,1,0,0
elaborate,0,0,1
elaboration,0,1,0
elan,0,0,1
elapse,0,0,1
elapsed,0,0,1
elastic,0,0,1
elasticity,0,0,1
elated,0,1,0
elbow,0,0,1
eld,0,0,1
elder,0,1,0
elderly,0,0,1
elders,0,1,0
eldest,0,0,1
elect,0,1,0
election,0,0,1
elector,0,0,1
electorate,0,0,1
electric,0,1,0
electricity,0,1,0
elegance,0,1,0
elegant,0,1,0
element,0,0,1
elementary,0,0,1
elements,0,0,1
elephant,0,0,1
elevate,0,0,1
elevation,0,1,0
elevator,0,0,1
eleven,0,0,1
eleventh,0,0,1
elf,0,0,1
elicit,0,0,1
eligible,0,1,0
elimination,1,0,0
elite,0,1,0
elk,0,0,1
ell,0,0,1
ellipse,0,0,1
ellipsis,0,0,1
ellipsoid,0,0,1
elliptic,0,0,1
elliptical,0,0,1
elongate,0,0,1
elongation,0,0,1
eloquence,0,1,0
eloquent,0,1,0
elucidate,0,1,0
elucidation,0,0,1
elude,0,0,1
elusive,1,0,0
emaciated,1,0,0
emanate,0,0,1
emancipation,0,1,0
embankment,0,0,1
embargo,1,0,0
embark,0,0,1
embarrass,1,0,0
embarrassing,1,0,0
embarrassment,1,0,0
embassy,0,0,1
embed,0,0,1
embellish,0,0,1
embellishment,0,0,1
embers,0,0,1
embezzlement,1,0,0
emblem,0,0,1
emblematic,0,0,1
embodiment,0,0,1
embolism,1,0,0
embossed,0,0,1
embrace,0,1,0
embroidered,0,0,1
embroidery,0,0,1
embroiled,1,0,0
embryo,0,0,1
embryonic,0,0,1
emerald,0,0,1
emerge,0,0,1
emergence,0,0,1
emergency,1,0,0
emeritus,0,1,0
emigrate,0,0,1
emigration,0,0,1
eminence,0,1,0
eminent,0,1,0
eminently,0,1,0
emir,0,1,0
emission,0,0,1
emit,0,0,1
emotion,0,0,1
emotional,0,0,1
emotive,0,0,1
empathy,0,1,0
emperor,0,0,1
emphasis,0,0,1
emphasize,0,0,1
emphatic,0,0,1
empire,0,0,1
empirical,0,0,1
empiricism,0,0,1
employ,0,0,1
employer,0,0,1
employment,0,0,1
emporium,0,0,1
empower,0,1,0
empress,0,0,1
emptiness,0,0,1
emption,0,0,1
empty,0,0,1
emulate,0,1,0
emulsion,0,0,1
enable,0,1,0
enablement,0,1,0
enact,0,0,1
enactment,0,0,1
enamel,0,0,1
encampment,0,0,1
enchant,0,1,0
enchanted,0,1,0
enchanting,0,1,0
enchantment,0,0,1
encircle,0,0,1
encircling,0,0,1
enclave,1,0,0
enclose,0,0,1
encode,0,0,1
encompass,0,0,1
encore,0,1,0
encounter,0,0,1
encourage,0,1,0
encouragement,0,1,0
encroach,0,0,1
encroachment,1,0,0
encrypt,0,0,1
encumbrance,1,0,0
encyclopedia,0,1,0
end,0,0,1
endanger,1,0,0
endangered,1,0,0
endeavor,0,1,0
ended,0,0,1
endemic,1,0,0
ending,0,0,1
endless,1,1,0
endocarditis,0,0,1
endorsement,0,0,1
endow,0,1,0
endowed,0,1,0
endowment,0,1,0
endpapers,0,0,1
endpoint,0,0,1
endurance,0,1,0
endure,0,1,0
enema,0,0,1
enemy,1,0,0
energetic,0,1,0
energy,0,0,1
enforce,1,1,0
enforcement,1,0,0
engage,0,0,1
engaged,0,1,0
engagement,0,0,1
engaging,0,1,0
engender,0,0,1
engine,0,0,1
engineer,0,0,1
engineering,0,0,1
engrave,0,0,1
engraved,0,0,1
engraver,0,0,1
engraving,0,0,1
engrossed,0,0,1
engrossing,0,0,1
engulf,0,0,1
enhance,0,1,0
enigma,0,0,1
enigmatic,1,0,0
enjoin,0,0,1
enjoy,0,1,0
enjoying,0,1,0
enlarged,0,0,1
enlargement,0,0,1
enlighten,0,1,0
enlightenment,0,1,0
enlist,0,0,1
enliven,0,1,0
enmity,1,0,0
enormity,0,0,1
enormous,0,0,1
enormously,0,0,1
enrich,0,1,0
enroll,0,0,1
ensemble,0,1,0
ensign,0,1,0
enslave,1,0,0
enslaved,1,0,0
enslavement,1,0,0
ensue,0,0,1
ensure,0,0,1
entail,0,0,1
entangled,1,0,0
entanglement,1,0,0
enter,0,0,1
enterprise,0,0,1
enterprising,0,1,0
entertain,0,1,0
entertained,0,1,0
entertaining,0,1,0
entertainment,0,1,0
enthusiasm,0,1,0
enthusiast,0,1,0
entice,0,0,1
entire,0,0,1
entirety,0,0,1
entitle,0,0,1
entity,0,0,1
entomology,0,0,1
entrails,1,0,0
entrance,0,0,1
entreat,0,0,1
entree,0,0,1
entrepreneur,0,0,1
entrust,0,0,1
entry,0,0,1
enumerate,0,0,1
enumeration,0,0,1
envelope,0,0,1
envious,1,0,0
environ,0,1,0
environment,0,0,1
environs,0,0,1
envision,0,0,1
envoy,0,0,1
ephemeral,0,0,1
ephemeris,0,1,0
epic,0,1,0
epidemic,1,0,0
epidermis,0,0,1
epilepsy,1,0,0
epilogue,0,0,1
episcopal,0,0,1
episode,0,0,1
episodic,0,0,1
epistle,0,0,1
epitaph,0,0,1
epithet,0,0,1
epitome,0,1,0
epoch,0,0,1
equal,0,0,1
equality,0,1,0
equalization,0,0,1
equalize,0,0,1
equally,0,1,0
equate,0,0,1
equation,0,0,1
equator,0,0,1
equatorial,0,0,1
equestrian,0,0,1
equidistant,0,0,1
equilibration,0,0,1
equilibrium,0,1,0
equip,0,0,1
equipment,0,0,1
equitable,0,0,1
equity,0,1,0
equivalence,0,0,1
equivalent,0,0,1
equivocal,0,0,1
era,0,0,1
eradicate,1,0,0
eradication,1,0,0
erase,1,0,0
erasure,0,0,1
ere,0,0,1
erect,0,0,1
erection,0,0,1
ergo,0,0,1
erode,0,0,1
erosion,1,0,0
erotic,1,1,0
err,1,0,0
errand,0,1,0
errant,1,0,0
erratic,1,0,0
erratum,1,0,0
erroneous,1,0,0
error,1,0,0
erst,0,0,1
erudite,0,1,0
erupt,1,0,0
eruption,1,0,0
escalade,0,0,1
escalate,1,0,0
escalator,0,0,1
escape,1,1,0
escaped,0,0,1
escarpment,0,0,1
eschew,1,0,0
escort,0,0,1
esoteric,0,0,1
especial,0,0,1
espionage,1,0,0
espouse,0,0,1
esprit,0,1,0
essay,0,0,1
essayist,0,0,1
essence,0,0,1
essential,0,1,0
essentially,0,0,1
establish,0,0,1
established,0,1,0
establishment,0,0,1
estate,0,0,1
esteem,0,1,0
esthetic,0,1,0
estimate,0,0,1
estimation,0,0,1
estoppel,0,0,1
estranged,1,0,0
estrogen,0,0,1
estuary,0,0,1
etch,0,0,1
etching,0,0,1
eternal,0,0,1
eternity,0,0,1
ethanol,0,0,1
ether,0,0,1
ethereal,0,0,1
ethical,0,1,0
ethics,0,1,0
ethnography,0,0,1
etiology,0,0,1
etiquette,0,0,1
etymology,0,0,1
euchre,0,0,1
eugenics,0,0,1
eulogy,0,0,1
euphemism,0,0,1
euthanasia,1,0,0
evacuate,1,0,0
evacuation,1,0,0
evade,1,0,0
evaluate,0,0,1
evanescence,0,0,1
evangelical,0,0,1
evangelist,0,0,1
evangelistic,0,0,1
evaporation,0,0,1
evasion,1,0,0
eve,0,0,1
evening,0,0,1
event,0,0,1
eventful,0,0,1
eventual,0,0,1
eventuality,0,0,1
evergreen,0,1,0
everlasting,0,1,0
evermore,0,0,1
everyday,0,0,1
evict,1,0,0
eviction,1,0,0
evidence,0,0,1
evident,0,1,0
evil,1,0,0
evoke,0,0,1
evolution,0,1,0
evolve,0,0,1
ewe,0,0,1
exacerbate,1,0,0
exacerbation,1,0,0
exacting,1,0,0
exaggerate,1,0,0
exaggerated,1,0,0
exaggeration,0,0,1
exalt,0,1,0
exaltation,0,1,0
exalted,0,1,0
exam,0,0,1
examination,1,0,0
examine,0,0,1
examiner,0,0,1
exasperation,1,0,0
excavate,0,0,1
excavation,1,0,0
excavator,0,0,1
exceed,0,1,0
exceeding,0,0,1
excel,0,1,0
excellence,0,1,0
excellent,0,1,0
excepting,0,0,1
exception,0,0,1
excerpt,0,0,1
excess,1,0,0
excessive,0,0,1
excessively,0,0,1
exchange,0,1,0
excise,1,0,0
excision,0,0,1
excitability,0,0,1
excitable,0,1,0
excitation,0,1,0
excite,0,1,0
excited,0,1,0
excitement,0,1,0
exciting,0,1,0
exclaim,0,0,1
excluded,1,0,0
excluding,1,0,0
exclusion,1,0,0
excrement,1,0,0
excretion,0,0,1
excruciating,1,0,0
excursion,0,0,1
excuse,1,0,0
execute,0,0,1
execution,1,0,0
executioner,1,0,0
executive,0,0,1
executor,0,0,1
exegesis,0,0,1
exemplar,0,0,1
exemplary,0,1,0
exemplify,0,0,1
exempt,0,0,1
exemption,0,1,0
exercise,0,0,1
exert,0,0,1
exertion,0,0,1
exhale,0,0,1
exhaust,1,0,0
exhausted,1,0,0
exhaustion,1,0,0
exhaustive,0,0,1
exhibit,0,0,1
exhibition,0,0,1
exhilaration,0,1,0
exhort,0,1,0
exhortation,0,1,0
exigent,1,0,0
exile,1,0,0
exist,0,0,1
existence,0,1,0
existent,0,0,1
existing,0,0,1
exit,0,0,1
exodus,0,0,1
exorbitant,0,0,1
exorcism,1,0,0
exorcist,0,0,1
exotic,0,1,0
expand,0,0,1
expanded,0,0,1
expanse,0,0,1
expansion,0,0,1
expansive,0,0,1
expatriate,1,0,0
expect,0,1,0
expectancy,0,0,1
expectant,0,0,1
expectation,0,1,0
expected,0,0,1
expecting,0,0,1
expediency,0,0,1
expedient,0,1,0
expedite,0,0,1
expedition,0,1,0
expeditious,0,0,1
expel,1,0,0
expenditure,1,0,0
expense,0,0,1
expenses,1,0,0
expensive,0,0,1
experience,0,0,1
experienced,0,1,0
experiences,0,0,1
experiment,0,0,1
experimental,0,0,1
experimenter,0,0,1
expert,0,1,0
expertise,0,1,0
expiration,0,0,1
expire,1,0,0
expired,1,0,0
expiry,0,0,1
explain,0,1,0
explanation,0,0,1
explanatory,0,0,1
expletive,1,0,0
explication,0,0,1
explode,1,0,0
exploit,0,0,1
explore,0,0,1
explorer,0,0,1
explosion,1,0,0
explosive,1,0,0
exponent,0,0,1
exponential,0,0,1
export,0,0,1
exportation,0,0,1
expose,0,0,1
exposed,1,0,0
exposition,0,0,1
expository,0,0,1
exposure,0,0,1
expound,0,0,1
express,0,0,1
expression,0,0,1
expressive,0,0,1
expropriation,1,0,0
expulsion,1,0,0
exquisite,0,1,0
exquisitely,0,1,0
extant,0,0,1
extend,0,1,0
extendable,0,0,1
extended,0,0,1
extension,0,0,1
extensive,0,1,0
extent,0,0,1
exterior,0,0,1
exterminate,1,0,0
extermination,1,0,0
external,0,0,1
externally,0,0,1
extinct,1,0,0
extinguish,1,0,0
extra,0,1,0
extract,0,0,1
extracting,0,0,1
extraction,0,0,1
extractor,0,0,1
extradition,0,0,1
extrajudicial,1,0,0
extramural,0,0,1
extraneous,0,0,1
extraordinary,0,1,0
extravaganza,0,0,1
extreme,0,0,1
extremely,0,0,1
extremity,1,0,0
extricate,0,1,0
extrinsic,0,0,1
extrusion,0,0,1
exuberance,0,1,0
exude,0,0,1
eye,0,0,1
eyeglass,0,0,1
eyelet,0,0,1
eyepiece,0,0,1
eyesight,0,0,1
eyewitness,0,0,1
fable,0,0,1
fabric,0,0,1
fabricate,1,0,0
fabricated,0,0,1
fabrication,1,0,0
facade,0,0,1
face,0,0,1
facet,0,0,1
facile,0,0,1
facilitate,0,1,0
facility,0,0,1
facing,0,0,1
facsimile,0,0,1
fact,0,0,1
faction,0,0,1
factor,0,0,1
factory,0,0,1
facts,0,1,0
faculties,0,0,1
faculty,0,1,0
fad,0,0,1
fade,1,0,0
faded,0,0,1
faeces,1,0,0
failing,1,0,0
failure,1,0,0
fain,0,1,0
fainting,1,0,0
fair,0,1,0
fairly,0,1,0
fairway,0,0,1
fairy,0,0,1
faith,0,1,0
faithful,0,1,0
faithless,1,0,0
fake,1,0,0
fall,1,0,0
fallacious,1,0,0
fallacy,1,0,0
fallible,1,0,0
falling,1,0,0
fallow,1,0,0
falsehood,1,0,0
falsely,1,0,0
falsification,1,0,0
falsified,0,0,1
falsify,1,0,0
falsity,1,0,0
falter,1,0,0
fame,0,1,0
famed,0,0,1
familiar,0,1,0
familiarity,0,1,0
familiarize,0,0,1
famine,1,0,0
famous,0,1,0
famously,0,1,0
fan,0,0,1
fanatic,1,0,0
fanaticism,0,0,1
fanciful,0,0,1
fancy,0,1,0
fandango,0,0,1
fanfare,0,1,0
fang,0,0,1
fangs,0,0,1
fanning,0,0,1
fantasia,0,0,1
fantasy,0,0,1
farce,1,0,0
farcical,1,0,0
fare,0,0,1
farewell,0,0,1
farm,0,0,1
farmer,0,0,1
farmhouse,0,0,1
farming,0,0,1
faro,0,0,1
farther,0,0,1
fascia,0,0,1
fascinating,0,1,0
fascination,0,1,0
fashion,0,0,1
